sequence_file,MAE,RMSE,physics_residual,latency_sec
seq_000085.npz,0.011827623471617699,0.02002764865756035,0.0022009145468473434,1.1831415666771743
seq_000086.npz,0.012045435607433319,0.019587546586990356,0.0022420701570808887,1.1780221666558646
seq_000087.npz,0.012013010680675507,0.018318897113204002,0.002443945500999689,1.1810838333331048
seq_000088.npz,0.014089138247072697,0.021890565752983093,0.002619578270241618,1.1777708999967824
seq_000089.npz,0.012091761454939842,0.017685389146208763,0.0024380069226026535,1.1804761666765746
seq_000090.npz,0.016555218026041985,0.030092747882008553,0.002997918287292123,1.1839997666732718
seq_000091.npz,0.012470708228647709,0.01910477504134178,0.002344985958188772,1.1801124666623461
seq_000092.npz,0.013208111748099327,0.019615359604358673,0.00250564469024539,1.1812335333282438
seq_000093.npz,0.014920414425432682,0.022098641842603683,0.0028145608957856894,1.1772239333367907
seq_000094.npz,0.013296492397785187,0.02111433818936348,0.002579765859991312,1.1775128333247267
seq_000095.npz,0.012743672356009483,0.019013945013284683,0.002445366233587265,1.220907066677076
seq_000096.npz,0.014113809913396835,0.022881219163537025,0.002532096579670906,1.313024966667096
seq_000097.npz,0.013248741626739502,0.020142879337072372,0.002507548313587904,1.2904431666635598
seq_000098.npz,0.013981705531477928,0.021820079535245895,0.002515400294214487,1.252044366672635
seq_000099.npz,0.015184974297881126,0.02357126772403717,0.0026887471321970224,1.2570655999976832
